sample_id,location,location_id,time_id,group_id,SUM of cons_OTU_1 (Eudyptula minor),SUM of cons_OTU_2 (Procellariidae sp.1),SUM of cons_OTU_3 (Procellariidae sp.2),SUM of cons_OTU_4 (Thalassarche melanophris),SUM of cons_OTU_5 (Sterna bergii)
CBW-1/16-1,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-10,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-11,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-12,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-13,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,4,0,0
CBW-1/16-14,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-15,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-2,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-3,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-4,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-5,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-6,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-7,Cape Bridgewater,CB,Jan_16,CB_Jan_16,5520,0,0,0,0
CBW-1/16-8,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/16-9,Cape Bridgewater,CB,Jan_16,CB_Jan_16,0,0,0,0,0
CBW-1/17-1,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-10,Cape Bridgewater,CB,Jan_17,CB_Jan_17,159,0,0,0,0
CBW-1/17-11,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-12,Cape Bridgewater,CB,Jan_17,CB_Jan_17,12,0,0,0,0
CBW-1/17-13,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-14,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-2,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-3,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-4,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-5,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,4,0,0
CBW-1/17-6,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-7,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-8,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CBW-1/17-9,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,2,0,0,0
CBW-9/15-1,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,3890,0,0
CBW-9/15-2,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,0,0,0
CBW-9/15-3,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,0,0,0
CBW-9/15-4,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,5,2,0,0
CBW-9/15-5,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,3302,0,0,0
CBW-9/15-6,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,0,0,0
CBW-9/15-7,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,0,0,0
CBW-9/15-8,Cape Bridgewater,CB,Sep_15,CB_Sep_15,0,0,0,0,0
CBW-9/16-1,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,4,3,0,0
CBW-9/16-10,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
CBW-9/16-11,Cape Bridgewater,CB,Sep_16,CB_Sep_16,2,0,0,0,0
CBW-9/16-12,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
CBW-9/16-13,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
CBW-9/16-14,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
CBW-9/16-15,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
CBW-9/16-2,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,9094,0,0,0
CBW-9/16-3,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,3,0,0,0
CBW-9/16-4,Cape Bridgewater,CB,Sep_16,CB_Sep_16,5,3,0,0,0
CBW-9/16-5,Cape Bridgewater,CB,Sep_16,CB_Sep_16,6348,0,0,1599,0
CBW-9/16-6,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
CBW-9/16-7,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
CBW-9/16-8,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
CBW-9/16-9,Cape Bridgewater,CB,Sep_16,CB_Sep_16,0,0,0,0,0
CWB-1/17-15,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CWB-1/17-16,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CWB-1/17-17,Cape Bridgewater,CB,Jan_17,CB_Jan_17,2,0,0,0,0
CWB-1/17-18,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
CWB-1/17-19,Cape Bridgewater,CB,Jan_17,CB_Jan_17,0,0,0,0,0
GI-1/17-1,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-10,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-11,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-12,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-2,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-3,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-4,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-5,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-6,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-7,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-8,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
GI-1/17-9,Gabo Island,GI,Jan_17,GI_Jan_17,0,0,0,0,0
LJP-3/17-1,Lady Julia Percy,LJP,Mar_17,LJP_Mar_17,0,0,0,0,0
MI-1/17-1,Montague Island,MI,Jan_17,MI_Jan_17,0,0,0,0,0
MI-1/17-10,Montague Island,MI,Jan_17,MI_Jan_17,0,0,0,0,0
MI-1/17-2,Montague Island,MI,Jan_17,MI_Jan_17,0,0,0,0,0
MI-1/17-3,Montague Island,MI,Jan_17,MI_Jan_17,0,2,0,0,0
MI-1/17-4,Montague Island,MI,Jan_17,MI_Jan_17,0,0,0,0,0
MI-1/17-5,Montague Island,MI,Jan_17,MI_Jan_17,4415,0,0,0,0
MI-1/17-6,Montague Island,MI,Jan_17,MI_Jan_17,894,0,0,0,0
MI-1/17-7,Montague Island,MI,Jan_17,MI_Jan_17,0,0,0,0,0
MI-1/17-8,Montague Island,MI,Jan_17,MI_Jan_17,206,0,0,0,0
MI-9/16-1,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-10,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-11,Montague Island,MI,Sep_16,MI_Sep_16,0,4,0,0,16
MI-9/16-12,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-13,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-14,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-15,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-16,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-17,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-18,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-19,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-2,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-20,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-3,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-4,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-5,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-6,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-7,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-8,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0
MI-9/16-9,Montague Island,MI,Sep_16,MI_Sep_16,0,0,0,0,0